year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,state_name_index,predicted_label,Latitude,Longitude
1960,AK,Alaska,226167,236,23,47,0,64,102,3494,751,2195,548,1.0,208,61.3025006,-158.7750198
1960,AL,Alabama,3266740,6097,406,281,0,898,4512,33823,11626,19344,2853,0.0,4503,32.6010112,-86.6807365
1960,AZ,Arizona,1302161,2704,78,209,0,706,1711,36539,8926,23207,4406,2.0,3643,34.1682185,-111.930907
1960,CA,California,15717204,37558,616,2859,0,15287,18796,508511,143102,311956,53453,4.0,38154,37.2718745,-119.2704153
1960,CO,Colorado,1753947,2408,73,229,0,1362,744,35695,9996,21949,3750,5.0,1689,38.9979339,-105.550567
1960,DC,District of Columbia,763956,4230,81,111,0,1072,2966,16495,4587,9905,2003,8.0,1588,38.8993487,-77.0145666
1960,FL,Florida,4951560,11061,527,403,0,4005,6126,122858,39966,73603,9289,9.0,20727,27.9757279,-83.8330166
1960,GA,Georgia,3943116,6262,469,294,0,974,4525,49253,15461,27979,5813,10.0,3272,32.6781248,-83.2229757
1960,HI,Hawaii,632772,138,15,21,0,69,33,14405,3328,9369,1708,11.0,1949,20.46,-157.505
1960,IA,Iowa,2757537,656,17,102,0,301,236,30335,6375,21865,2095,15.0,3876,41.9383166,-93.389798
1960,IL,Illinois,10081158,36802,489,1773,0,21048,13492,199283,58241,105423,35619,13.0,49085,39.739318,-89.504139
1960,IN,Indiana,4662498,3945,204,240,0,1609,1892,68496,21486,39196,7814,14.0,12448,39.7662195,-86.441277
1960,KS,Kansas,2178611,1272,64,109,0,410,689,29120,7705,19515,1900,16.0,1404,38.4987789,-98.3200779
1960,KY,Kentucky,3038156,2957,205,163,0,1001,1588,33887,11274,18831,3782,17.0,2412,37.8222935,-85.7682399
1960,LA,Louisiana,3257022,4990,270,279,0,1484,2957,43709,12615,24893,6201,18.0,3299,30.9733766,-91.4299097
1960,MD,Maryland,3100689,4691,168,224,0,1158,3141,47092,11360,30024,5708,20.0,4508,38.8063524,-77.2684162
1960,ME,Maine,969265,289,16,48,0,77,148,11228,2702,7334,1192,19.0,1699,45.2185133,-69.0148656
1960,MI,Michigan,7823194,17034,353,1135,0,7330,8216,191001,56724,120237,14040,22.0,15642,44.9435598,-86.4158049
1960,MO,Missouri,4319813,7468,189,627,0,3913,2739,77743,25712,44049,7982,25.0,12874,38.3046615,-92.437099
1960,MS,Mississippi,2178141,2236,218,112,0,324,1582,13113,4459,7603,1051,24.0,1167,32.5851062,-89.8772196
1960,MT,Montana,674767,453,26,48,0,186,193,13397,2675,9079,1643,26.0,2001,46.6797995,-110.044783
1960,NC,North Carolina,4556155,10182,482,355,0,825,8520,43556,12730,26865,3961,32.0,2851,35.2145629,-79.8912675
1960,ND,North Dakota,632446,90,3,14,0,40,33,5545,1252,3863,430,33.0,285,47.4678819,-100.3022655
1960,NH,New Hampshire,606921,81,8,25,0,18,30,4105,1108,2646,351,29.0,37,44.0012306,-71.5799231
1960,NJ,New Jersey,6066782,6932,164,442,0,2591,3735,83509,25698,45903,11908,30.0,16339,40.1430058,-74.7311156
1960,NM,New Mexico,951023,1360,70,117,0,376,797,21337,4331,14501,2505,31.0,3554,34.1662325,-106.0260685
1960,NV,Nevada,285278,416,25,36,0,211,144,9399,2606,5675,1118,28.0,1723,38.502032,-117.0230604
1960,OH,Ohio,9706397,8120,311,572,0,3890,3347,143187,37260,92858,13069,34.0,24038,40.1903624,-82.6692525
1960,OR,Oregon,1768687,1232,43,166,0,563,460,33738,7175,24252,2311,36.0,1397,44.1419049,-120.5380993
1960,PA,Pennsylvania,11319366,11203,296,995,0,3840,6072,107586,33709,60023,13854,37.0,14795,40.9945928,-77.6046984
1960,RI,Rhode Island,859488,316,9,20,0,122,165,17496,4388,10455,2653,38.0,2682,41.5827282,-71.5064508
1960,SC,South Carolina,2382594,3424,314,236,0,478,2396,32319,10081,19636,2602,39.0,2460,33.62505,-80.9470381
1960,SD,South Dakota,680514,282,14,37,0,62,169,7639,1687,5363,589,40.0,1245,44.2126995,-100.2471641
1960,TN,Tennessee,3567089,3250,302,194,0,961,1793,41000,16505,20162,4333,41.0,5267,35.830521,-85.9785989
1960,TX,Texas,9579677,15428,824,892,0,3031,10681,196979,57589,123415,15975,42.0,15642,31.1693363,-100.0768425
1960,US,United States,179323175,288460,9110,17190,0,107840,154320,3095700,912100,1855400,328200,51.0,201763,0.0,0.0
1960,UT,Utah,890627,484,9,61,0,185,229,22150,3655,17081,1414,43.0,2733,39.4997605,-111.547028
1960,WI,Wisconsin,3951777,1261,50,109,0,327,775,44009,7847,32035,4127,48.0,2355,44.7862968,-89.8267049
1960,WY,Wyoming,330066,362,16,23,0,176,147,5989,990,4620,379,49.0,1081,43.000325,-107.5545669
1961,AL,Alabama,3302000,5564,427,252,0,630,4255,32541,11205,18801,2535,0.0,5586,32.6010112,-86.6807365
1961,AR,Arkansas,1797000,1809,163,130,0,446,1070,16836,5536,10211,1089,3.0,1924,34.7519275,-92.1313784
